,importance
makespan_lb_meanload,0.05961863010945883
betweenness_mean,0.05679465894890393
betweenness_range,0.05636623825106931
betweenness_median,0.052371410249277016
betweenness_min,0.0522362638014095
betweenness_q1,0.04412270408305221
deg_d_mean,0.04222737619857594
deg_d_median,0.04008615155579441
size_jobs_log,0.03274116147907726
num_edges_total,0.028031965801007766
betweenness_max,0.026091369779285067
deg_c_range,0.025696736678146148
num_disjunctive_edges,0.02544604810556851
betweenness_q3,0.024752141908430076
num_conjunctive_edges,0.02434873774873494
n_jobs,0.023721532199539784
makespan_range,0.0235786427653151
deg_d_q1,0.023168775748633037
makespan_lb_machine_sum,0.02262881871369177
deg_d_range,0.022608404965182353
num_nodes_total,0.02085433212021482
num_op_nodes,0.020532984590620355
deg_c_max,0.020019934998708785
deg_d_q3,0.019196682048653883
size_ops_log,0.019179744142405857
clustering_mean,0.019092826730737096
deg_d_max,0.017738080834041103
deg_d_gini,0.017261127921245185
clustering_gini,0.015980176706150942
clustering_std,0.015687604722817296
conj_graph_density,0.013564535646185288
betweenness_std,0.008460222995377199
node_x_col1_gini,0.007283914057023828
node_x_col0_mean,0.006314744274423041
node_x_overall_mean,0.005190510863409638
node_x_col0_q3,0.005116718623334981
operation_cost_std,0.004333623743617469
node_x_col1_mean,0.004143356963314193
node_x_col1_std,0.003961343613089803
operation_cost_mean,0.0038745207128973473
node_x_col0_gini,0.0035510231504605975
disj_graph_density,0.0035056308786040793
makespan_min,0.00348427929971888
deg_c_std,0.0033670152147045255
deg_d_std,0.003170147734377195
node_x_overall_std,0.003080722377626806
betweenness_gini,0.0030390070740664134
deg_c_mean,0.002862221931475992
node_x_col0_std,0.0028506808075900386
deg_c_gini,0.002650675218949467
makespan_lb_job_sum,0.0023983757471586075
node_x_col1_max,0.002277623120354161
node_x_col1_range,0.0016761186470437767
node_x_col0_median,0.0015758690264178158
n_machines,0.0013497950835617922
node_x_col1_q3,0.0013042036281992716
size_machs_log,0.0010770509260594474
node_x_col0_q1,0.0010207804647431617
node_x_col1_median,0.0005914561045141638
node_x_col1_q1,0.0003416921295669018
node_x_col0_max,0.00021879467116627178
node_x_col0_range,0.00017810982866550335
clustering_q1,2.841874490788312e-06
clustering_median,3.2271317057186807e-07
clustering_max,2.8268473472057904e-07
clustering_range,2.562717487620482e-07
clustering_q3,2.559082345400858e-07
deg_c_q3,1.2084174745241446e-08
node_x_col0_min,0.0
node_x_cols,0.0
node_x_col1_min,0.0
deg_d_min,0.0
clustering_min,0.0
deg_c_q1,0.0
deg_c_median,0.0
deg_c_min,0.0
rddd,0.0
speed,0.0
